Fecha,Token,Liquidez_SOL,PrecioCompra,PrecioVenta,Signature
2025-08-15T23:35:24.614Z,NoEncontrado,9.92,0.05040323,0.06048388,MtwmeQ3jBUUc69urZZezUfCzzKnmaQ2bFTVYWJZAZMKy8Yxi7tnTWPK7tpS2saRrzhqSj6Vw49AyaWG4KMnANQf
2025-08-15T23:35:24.630Z,NoEncontrado,4.4,0.11363636,0.13636363,22WFi5WbRiXZWhfpCVUb2F1e1anQ7TFM9w7JYHEbrDrFRFTd2Ajvrid5MsqjmS372oeoZhbNP6GDo46ku3a6obtD
2025-08-15T23:35:24.648Z,NoEncontrado,8.73,0.05727377,0.06872852,4fZJ8nDH7c4eW6oU9kvKaindCXrUsa7mBNEqhNESCQXaWugzE1RNSg7uwSBGDf6Y4e6keai2oPsu1CXUCJwo22Uz
2025-08-15T23:35:24.658Z,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,5.83,0.08576329,0.10291595,4JjK1VXvtDqYHXPUgMZLNNJn388Tjf2iKmgG2eHUG4xZqssgib4PLSS3Cek6riiQN7Xyv1E6nLPtLakLwEKzuUPQ
2025-08-15T23:35:24.665Z,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,5.14,0.09727626,0.11673151,4uTa1v2W3RjnKjGY69JSkknRjenv5LEcYDY8PW9EdUNQEMhKV6VXYsG5ggN5MyZhD6AMmWxLKURkNVUch8MHECYp
2025-08-15T23:35:24.679Z,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,5.16,0.09689922,0.11627906,3Bmvg8kLzd64NX69e9NJ9Zvb1ngnPGDVwvyrNimNmADvjkBHgPbm47xwbgxcRbJrCwWf4hcpAUxY99gUurkkKjxG
2025-08-15T23:35:24.684Z,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,9.92,0.05040323,0.06048388,2caEAVCCdyFWD9EJi4KuwZJn1nsCg9Cv6po68wqP8S9nVYPZT17pNN5eW4SxkVtSYqGXzW5L6Nzvs1Fgwb5PGvX9
2025-08-15T23:35:24.741Z,NoEncontrado,7.54,0.06631300,0.07957560,5D7ZGoznGfdMqtsE6DQpyXzNrzo1k3QsYySBrP3uXTUBTueB971mpL6ornCVmpS4wiGpkwL1Bv1FMtKDnBnnMErD
2025-08-15T23:35:24.743Z,NoEncontrado,6.14,0.08143322,0.09771986,622eYhJVaBuWf6E4nQuiRpmqPixnr3GwBEwAtaRw1NNzkrSKTJxmbveDQdSAsEzCwk7XW5derSTvdH4QjhbPT6H1
2025-08-15T23:35:24.747Z,NoEncontrado,5.93,0.08431703,0.10118044,2taeuWhAzPXtYpRjVPCBsaA4KnyQRVZR2W2KwRSqo9bTUytJguvjPUnYFTE98jR3hfSqYr9sSMygyo6gjobEG3NS
2025-08-15T23:35:24.808Z,NoEncontrado,5.83,0.08576329,0.10291595,5KKYF14bqiTZzqNNdZAD3Wv9wNkxtvqrj4a3bF9bLozYdddwnNJUu7QZKfkitEiw4W4wtM8rMreKBLCyib1dfejU
2025-08-15T23:35:24.819Z,NoEncontrado,4.25,0.11764706,0.14117647,3aDG6H6zk4BGGzwsmwwutKsKG3R8L6mnhpizouxgzgxWPM9SG3Q6VEb33oKgK3ruiYMx6YnD3K4tuGgnazqTuPBk
2025-08-15T23:35:24.894Z,NoEncontrado,8.34,0.05995204,0.07194245,ecCxCmXcH94KM7czZ8hBijTufvfqyz4nrWDqtFWvNEY5zX7BSVGVuY7jpBi8nhgfUHpBAP77fcxeaD7aRD2cTuC
2025-08-15T23:35:25.052Z,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,9.38,0.05330490,0.06396588,3S37xf7giuuETiPVFpSqNkQY6oG8X5iszXEQdAAx2c3BQqGnXGk4MfqdR4RDtAFuL7Yg2yv8Qhs8Dx3TQpHwn1VC
2025-08-15T23:35:25.123Z,NoEncontrado,3.36,0.14880952,0.17857142,35Pi483Zq1HNUL9kVjnz2cVig7VsQyB1CLyUBYz3LsoBmsLZ8RnTQhJNS8PPxJonDwnLDT3WiEQyiEm91VfWUpCc
2025-08-15T23:35:25.143Z,NoEncontrado,6.86,0.07288630,0.08746356,qVgxAVoivtTHUcixBsWfWK6NCv8exbU8sY1oxUP74R4e8NXqFDmidu4N9eTygrUxjiTL6Ve83LoxX1eCKy6a3w6
2025-08-15T23:35:25.154Z,NoEncontrado,7.18,0.06963788,0.08356546,4GWbstk9FFX62i2tGqwmpxTzMY3PsH8euCKAHbw8iDmhtG7oPnz6YZsnS7CLEWqJ4EtL1uTqUBeZa9EzoDGEtiM
2025-08-15T23:35:25.169Z,NoEncontrado,7.7,0.06493506,0.07792207,5MDzSbFwktp7MqqCjqL88yPQSVQiwQQ11TYHRTsgCtP7AfbX7L4NoP1gEfgbFXB4k979rs8DwwkP67L4DdbxjHsr
2025-08-15T23:35:25.243Z,NoEncontrado,3.17,0.15772871,0.18927445,2LfuZQ2x4TVjNRte7dRPB39Y7ETCFJw1MJPmuRPuDx1VPG6JDoqxX41Dh51XYj2XFBf21CXXoa8LnV22ChDRk2au
2025-08-15T23:35:25.248Z,NoEncontrado,9.01,0.05549390,0.06659268,4j3rrHuQJX9FHCGTygPSCh4qasFJNTgqkdofMogHHjHWe9YVxrYJZKEudnyphXhFmkbSGsfmJLC4oqA6ytozemuq
2025-08-15T23:35:25.362Z,NoEncontrado,3.44,0.14534884,0.17441861,yybjtWc97bYhsPaUiHV11JZUyLqcHygXzL7Zzm7BX9H7cWueWkBcgcDBZw5U7wBkjLZ3Q7CM8rQxEM9wfzWyUjB
2025-08-15T23:35:25.455Z,NoEncontrado,4.35,0.11494253,0.13793104,JQd8mCXm2wojdqRWefipdXEz79iHTbm1V47xBoyMm3DCeVA3jEBR6FquMJwpxxZWsr1Bvw6sZ4sNWnmWWPR4zee
2025-08-15T23:35:25.472Z,NoEncontrado,8.74,0.05720824,0.06864989,2NgEpN3LdCKENRvNmVjkWJponLW5GA6vLe2KUVwdVceHUzuYEVvbQPidtgYfAeqVtTNctaV4Q3bATNsTqFxVpjAW
2025-08-15T23:35:25.502Z,NoEncontrado,7.19,0.06954103,0.08344924,4T9fdsYGcF6BR181RBkszyMcz5E1rw9LvYd2puecUgnfJrByE7PMouewtG389Ten8eAe9CAJJXKiRGCRDKbdQJJw
2025-08-15T23:35:25.515Z,NoEncontrado,9.43,0.05302227,0.06362672,2V8zTd9N64MekiMKiBhLkEPkbrqCEoUFyczxKdLx3ZrUaRiDgfmfjCSBmkEFemLCZfgrPDWTAjmdhyqNpy1Lb1gj
2025-08-15T23:35:25.531Z,NoEncontrado,3.39,0.14749263,0.17699116,3rWjLfG7wTh3cgt4ZKKxb6vvjSiFcGCqjv4cGHGiexg2szshdgKdUz717XzPaAqTRFLvaNYQWT4Es5oivAR2QYQL
2025-08-15T23:35:25.535Z,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,9.2,0.05434783,0.06521740,24CaEsFKiLRVCMvXAjzYkSZTAe2v2y4A5M4WcokFAyqSFjnwdf43F7c3N6Kt47mV5ndvS6TzxyypMh55pEaczc8H
2025-08-15T23:35:25.537Z,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,3.77,0.13262599,0.15915119,5uEe4PUdMHgcXBu4n3SFGhqmo7jcpdyBW6whghCMvSCPuaE5bZwdBFip3q2MVhzsLCsMSkEenx5THefvwJQXVDBx
2025-08-15T23:35:25.551Z,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,7.72,0.06476684,0.07772021,2y3nLgu3vcRjKKoEJ92YgvCzSy6jBJJJP1L77NJjEaAjWVv9v5q1iF5DTHWteMYaqYqcSjsQcuk82QNo6MwpHGKm
2025-08-15T23:35:25.552Z,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,9.91,0.05045409,0.06054491,3y6mqnJENbmJME4uDXbUMQotniuNEQ7TFL1sU2yGpeLBAtW6vniEF1e2H9p9NdrgyqJfMWWmGFun5w21GR6rHoiU
2025-08-15T23:35:25.554Z,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,2.82,0.17730496,0.21276595,vjPJNaHyLUGHabzBNq7pTUo7CStP6uhECf3qb2JRtwrR7v5rbEnNj6QMMiwjrWMu3Ntbzf7y1G8CypEK5s44rhd
2025-08-15T23:35:25.561Z,NoEncontrado,4.92,0.10162602,0.12195122,4jTWAet8crUVq6UZKvTJy7dmC1YB71KeprVJNPf3QubNYbpN3vWrzonViWzM4m6ugYRWszD1zXeCj44Y27LJS6eX
2025-08-15T23:35:25.564Z,NoEncontrado,5.01,0.09980040,0.11976048,28RRkeAtTEV9YCS4MMXyE5Yyze4UoZVPASu3umxmfGw5tX1DaytLhzL7ZDZMtueT3Rj2Mu2V7PezmQ1oGMkKpHTF
2025-08-15T23:35:25.566Z,NoEncontrado,9.27,0.05393743,0.06472492,4iwY5YDoK8HjNSRkhEtb8YW7rkPVg2ZweF7UwFmqNpqtTvFWEBCm9F9PUddZuSfvVwozz9t4PGEKZHjCCrHUJeyF
2025-08-15T23:35:25.569Z,NoEncontrado,3.08,0.16233766,0.19480519,36DvzQagGvGdCp3YbXf4TR9iVxG9XXYfHzMU5FfWQXc4eeedeA3FnyPCo1FDv9piGw7XjucicN69w9L7oLK2XEsT
2025-08-15T23:35:25.571Z,NoEncontrado,5.24,0.09541985,0.11450382,2MvT57UVEPCJ2eB2U5EyQLaKk3N6pX3UwJL4eo9MYTT4gfzWDGYs4dE93nA4BcaySRdsLnHA6LBQ2ACgqgnrGRBV
2025-08-15T23:35:25.573Z,NoEncontrado,3.49,0.14326648,0.17191978,4EzAeQYuetTZMBrkCNSRe81hUHGs71P3nn6cV27pTy4RmiZm8jFFjgMxxMSJFEExJ1E91p85RBs3AqFLc1MJiGeS
2025-08-15T23:35:25.575Z,NoEncontrado,3.81,0.13123360,0.15748032,3fuTGJRr56zJBG6J1f5EDV7Xrz3F28avdi6QHm7HFLTizAhQio2GdYHvkqAfYyAc4V57Y3EjupUwrkJHzvn1Pph7
2025-08-15T23:35:25.576Z,NoEncontrado,5.67,0.08818342,0.10582010,3RK8PW5nwzwCvUpYYPb83GyYti1qoZh4hAf6poEwTNwKB2qUWsDZQjgJeJ8ueXirYMQ8nKnxDpjmJCWapEgfnNxT
2025-08-15T23:35:25.578Z,NoEncontrado,4.83,0.10351967,0.12422360,5BT9NVazyr1cipr3GpYa2FtPEEhGbadbkHA3TnSzrAFm1C2wLEpw3GydnHrvJf2RHwqRZquazKukpnigVS9eJeW4
2025-08-15T23:35:25.610Z,NoEncontrado,6.1,0.08196721,0.09836065,4kjk9oDWZsKrK8XAGto8Mncv9b42PQuWy68at1YDejfruiEZehNE7Ry8N7A1n7yf22A8s2uM64YEWGMNf4myd7X7
2025-08-15T23:35:25.613Z,NoEncontrado,2.89,0.17301038,0.20761246,3UVyGxcWBQ2EqZToWZLku1U3wNpSScwQjaWHCMMRLdNXVRKn7MMF4q8SqdfgFm5r2v5Cu2aFqsushwNB4e9EJq5a
2025-08-15T23:35:25.624Z,NoEncontrado,6.64,0.07530120,0.09036144,4TcSAUxx3VP6RXpmXafUoAT9Y5kQdia77EyqxmdifKXEQvVe8t5gHnfpabVVk5kk7S9zGPzS7TRUWptCyH4twTbg
2025-08-15T23:35:25.750Z,NoEncontrado,8.9,0.05617978,0.06741574,5zMGBTp82aQk51Qi2jGDncG2b1Vrfvmq9atuX93RpwcBrYBqiywMdYouuNN1Z4DzaDHCDi5L26poEWM7an5vUpCi
2025-08-15T23:35:25.761Z,NoEncontrado,4.11,0.12165450,0.14598540,3PErmgvZGE8QUp85yJnSfv6JmrTt7Xi9ZitgzzL9yDHTTwRuDwbGZXENn7LsNQrJHdboNsxR3AFVopPp35yzSwJU
2025-08-15T23:35:25.763Z,NoEncontrado,6.99,0.07153076,0.08583691,qu1UxhRDG3842sUyg7oyqtCMiDReQCGvwX6kjebTFTnjY3iievgPjFtxJ4VXz7mqQ26cxonwpnCsPRteXZ9sFpT
2025-08-15T23:35:25.765Z,NoEncontrado,7.68,0.06510417,0.07812500,4UtSKWUrDDrcTqncXmnFyKTKYQujRtzaL1f5L2qwsCP9eKMxWKeYwFLfEjG4Gn886Vy6gWjAVuzAcUz84LH2L8yL
2025-08-15T23:35:25.768Z,NoEncontrado,3.6,0.13888889,0.16666667,5KrLfDtPL9gHcWjDnayHN2jewM2eEif4esmyX5U3BthLzgrVoYqTqt4KEReNA38rZDVTPKqarCC2rqBUpnkNYy2a
2025-08-15T23:35:25.771Z,NoEncontrado,7.54,0.06631300,0.07957560,27zULXTgNBa2BTpWyXS9QAnk55spD5A93iduWem3F9yn1Hfo4jNjE2fxjwKTFZeFeDTFuWqBYrkX2L8dFWpqsWVn
2025-08-15T23:35:25.773Z,NoEncontrado,5.34,0.09363296,0.11235955,74U9U67zHoGxbk9ntTJjtadRPGmidcuFWtAPyqfkcXfKjedW7fZhbcV2BxMqwdMtFEQdA1sPKQu3ftFsU4Sb3nA
2025-08-15T23:35:25.775Z,NoEncontrado,6.86,0.07288630,0.08746356,3cy2ZMmduFwUbHxkuMx7bopLAfcL2xeu1zufngjFYtsN8UmDdctRf3gn9gSKsfmUX3sQUjrfgfNMTsjqAz85RZBa
2025-08-15T23:35:25.777Z,NoEncontrado,7.34,0.06811989,0.08174387,27QHKhxLnpQXNJinh8EpnAJcjmpfyG8SJG5ApLJoNCiqSYwZFd4apeL4yZqweoPAnJueuDjHgYUkLbdEyDAwwqSf
2025-08-15T23:35:25.779Z,NoEncontrado,6.58,0.07598784,0.09118541,3v6YpTcJGMSxQ9wmLYj4vkGPh6hqjFHDsQ9qEBTkLbMHqREAge87Ma3Dz13o5gUxWNWsnBoqA15u4RyepUEv9Nmi
2025-08-15T23:35:25.782Z,NoEncontrado,2.63,0.19011407,0.22813688,5s57gy2MwF6Nv7Jy1anbCx4jPn3QeV1x91xdfFn3eC7RZSP9qqWdifdHbeQ9cCSgSrPzBHPoHSTVDbnvHp1UqYWc
2025-08-15T23:35:25.784Z,NoEncontrado,8.83,0.05662514,0.06795017,3DTWpwKmUo1qaxooUaXG9Zr4jBBisMq9qqV3V1FBe5nSh3WV95qgTGb1FeEBYpyhLNPM8mx9pyMqfXX1J5vodj9i
2025-08-15T23:35:25.786Z,NoEncontrado,9.63,0.05192108,0.06230530,2eVUcL2Ha5JtWi846otGzxLVbcyyA35VJ3ZggcGaPre6TwcCCkgxvkTDQZhjbYc4NRhqAth2KVgjQrT3SMLQrksr
2025-08-15T23:35:25.789Z,NoEncontrado,3.38,0.14792899,0.17751479,4B5YXafiSraNkHbPxCkwatUPKjeH7gPtmie5SpZ4WYGEVYafGsSLLEcw1ULURk4LsQzkxDRnefvb1VEVxZW9FmVv
2025-08-15T23:35:25.792Z,NoEncontrado,9.29,0.05382131,0.06458557,2awGWMkVWhZsSafv5GNzfX3aPLnPoFZj5PNaZNVyh4TyoqgYcqPaZeFFbLh7eMf3LAmwpWSu3m5uSxzsjGSYC2bo
2025-08-15T23:35:25.795Z,NoEncontrado,6.59,0.07587253,0.09104704,5rTipJgkr4DEQThzsbFKb91PRg5KufzsVV8yPY3qhxv26WhLFxpWmBhHMf3DgEtzEkkfjwRmVBjjAt6NLVxAC9Wg
2025-08-15T23:35:25.797Z,NoEncontrado,9.79,0.05107252,0.06128702,2hTvr6sYwygYJva1w87FRmrqxrTLdAPZNsR6radRtrrWwxag73Nv6DQhvQkZQNGBPvWbUGP2A1PCzdHmMotg7ece
2025-08-15T23:35:25.799Z,NoEncontrado,3.71,0.13477089,0.16172507,dbJ8NaNUD2PymTftFKzV36gV2Tnc8fVMj3rB9zdPYZ6YUHHjeT3x7CwzvcTcL8p97wcyDCAo6nHJn4Yeq5zKESe
2025-08-15T23:35:25.801Z,NoEncontrado,5.85,0.08547009,0.10256411,3Uz3ZkwPewqeod1cb2Gc5R9aUq2mRaDn79vDJvCsauwFkyEY9ZacDmdBTNqPD5y9d6GfDrvMUMDyC8Ws68mVB4j7
2025-08-15T23:35:25.804Z,NoEncontrado,2.28,0.21929825,0.26315790,5jssprumWBshuZ2NXBfukmMHK7o6G9AUe1yLZMWsXbUnFz1o99eAA5FfsLbKXAAbDh8a2JGkaredBJzWivGjhSst
2025-08-15T23:35:25.806Z,NoEncontrado,9.25,0.05405405,0.06486486,4WR8ghwGLDr69evi1wmqYJDbEdxGaN7i12j5DmUdmAbzVgvAF4eik5DwNaNwEupykuyCuQtJYmbzuse5fj2C8727
2025-08-15T23:35:25.808Z,NoEncontrado,8.64,0.05787037,0.06944444,2FiUethqBUt75EpPQeEztRTUZh2ZfgvnuiEVRHmx6uQBZ5Fr446dEEbi3H8pQqpbQ5ynpNKDNNybvTGbnNNtQZNS
2025-08-15T23:35:25.810Z,NoEncontrado,7.03,0.07112376,0.08534851,4Nr7ZF2Tf7zqPtEwRJkbHHLmWJybdRisNKAQASMQmxCcUNhNfUw5Mz9AKdnFB167dALpHBe4v4RuLYnzUSvcU2WG
2025-08-15T23:35:25.813Z,NoEncontrado,8.32,0.06009615,0.07211538,2H6RpTgDhshLu5fZFcJ1si8apXqoU6E5b2QuzcSqX6MokaBhrFsjhzeC1EDkjRWkAzjwaDbcTpLTT6wQVCmmAxuW
2025-08-15T23:35:25.816Z,NoEncontrado,9.16,0.05458515,0.06550218,64MdoXXKXwEjSpSNrffsSh2Ep1gGYU7GYgczT7SRSgvbBvsrdQWd2jvNZV26e78yzkcjjNbo1Q96TSZxZNiidffB
2025-08-15T23:35:25.818Z,NoEncontrado,5.35,0.09345794,0.11214953,4jLwFTSsoeqr3bnvPA6RRt2P2i5XfAnYDECDrM821nwYpt5VvUFJ7DTgH7NpDByyQTn1v1JjYdxSSZpSNvo9VCh7
2025-08-15T23:35:25.820Z,NoEncontrado,8.08,0.06188119,0.07425743,4Zc8DddyzT3z3UhXuqRod7PZSVDY5UnaiH68bj7SXfbUjEowXDgDkgQhLR4XKVpFy1nrZeZTr36twH4eNwuEkffD
2025-08-15T23:35:25.822Z,NoEncontrado,7.3,0.06849315,0.08219178,AuPLzxTQVm4jpsSdKe5d3rcq3tuYCQjGcrBsy7t81oW8kpkRJJdr5rJiDnHsxzEzrWCSzkbKC4rZrGsQbJcFzER
2025-08-15T23:35:25.825Z,NoEncontrado,7.48,0.06684492,0.08021390,5K3NufTRkovqC8cCziRZL6U8v6LqJgmQh9uawU3F6MtwNQ6JmPgRZqhBdsuitDgPpjwouZJP6cpp6GpM2gtxTNVN
2025-08-15T23:35:25.826Z,NoEncontrado,8.39,0.05959476,0.07151371,rrki5bxG3WggVtiE8axTVfn3VqGrrbNe5Fc1iGsa8ZxLCsa87B4vndtkA4inaUmjFWh5fs2JXCSKhTx5fKoty7o
2025-08-15T23:35:25.828Z,NoEncontrado,8.32,0.06009615,0.07211538,4eQg17DmwPkjfcPU5g6QcgstW7j1XkomiioqFenoGu39jqjfPYGekfmRj4euARNr4cfx4gDCMFShXGtJzP6hah85
2025-08-15T23:35:25.830Z,NoEncontrado,5.83,0.08576329,0.10291595,3Adns2LFYrqcJgkzcEH6ADjbfbpsvGfKDfPH9QRkAr8TQuAqKMH3SXNJj6FTqgQpBcaqtT5gzUnwq1shJXKruhTP
2025-08-15T23:35:25.832Z,NoEncontrado,3.2,0.15625000,0.18750000,4b3z2S3FH8cqwrh6tjxvbbLXPWSFxJ6yB1GsMNRzN3Wp2py2U7hJRhoPj22fhEG1zVsYCcdy1GhyN4NFZxHAisQM
2025-08-15T23:35:25.834Z,NoEncontrado,7.14,0.07002801,0.08403361,fzSnpyjD8f8gNVkeSQecSypTHxwJibbecNvN7hRYdwCMCcD49mNUz1GXjNUp6EKszrJZTre8GZZkMET9TJEWrS3
2025-08-15T23:35:25.836Z,NoEncontrado,8,0.06250000,0.07500000,3D2Ndf1En1sQ1eD6MtSbyMVyG1QqqwsqaryUVcLCRA1Bf2Fyf6f2AvWsULaLhp3FMCeytpZmkZrAtw1nRxZmXzg4
2025-08-15T23:35:25.837Z,NoEncontrado,4.58,0.10917031,0.13100437,2MPw5N54Bsd3n8adC752Bwfi8PnjKY7BJRFbnPcz2wt3NrbsEJK5MCukCLw23Uc7uXQ7h4MCfFKWPDwxP5VHyDcf
2025-08-15T23:35:25.839Z,NoEncontrado,5.77,0.08665511,0.10398613,3S4xZKY6MrgF4Njw9zoU2Kw99SXHt3JaiJHs7MFsEHerDr13pQYzCrA4nN4UuNB6vYqABPNKShwPMv9PJSLDZ3s5
2025-08-15T23:35:25.841Z,NoEncontrado,2.99,0.16722408,0.20066890,4YqJ2iW3jsWfus1xdpukegcmorEcNyGAS3Q86fXh2o2UK3j145gTwi5B5eLJipFFoRv6hFdHAWS7eAHpBrFS6HBs
2025-08-15T23:35:25.843Z,NoEncontrado,2.51,0.19920319,0.23904383,5XpY9NL22KQo21tf84Xvg4MWd6DcfJGkvNHkD3A2m3Z8HCEKdDxV93V3RZBeZ1Z2Ea9ZxQrwacKJz1Jw4kDAuESK
2025-08-15T23:35:25.844Z,NoEncontrado,6.11,0.08183306,0.09819967,3tc7cnBwnp8vsFGHa6vau1VJA92xW54PijhoTxcVnjbYNmbNQ9kBhZQDgxn4TF5K28JyMUmgSyodfcMMmfXUcQ73
2025-08-15T23:35:25.846Z,NoEncontrado,7.6,0.06578947,0.07894736,5Rpcz64iCNK8TnoDEhcdx26mAFeFioRUcNpS2m52K8DapVLE8hyFVLLrVykpmftQk53Eh3w2ZsWQcLDjUNL2Ph2L
2025-08-15T23:35:25.848Z,NoEncontrado,6.37,0.07849294,0.09419153,5ANrUu4X23rLppwmuYe7QN1xCCEfjjqizHW4WnoYzRh6UHarpqYMQxx7G7QhmBR5LccYV14vjBKvhBwrddSHhT7g
2025-08-15T23:35:25.850Z,NoEncontrado,6.27,0.07974482,0.09569378,2efGwCbVKU1Xq754R35TUjghUNGemKhqj7d15snXnsstigy2QrUKFT8VDtoSubYdUiV4dc564ryXjFUpLNTtRtbx
2025-08-15T23:35:25.852Z,NoEncontrado,5.02,0.09960159,0.11952191,22Kec71cKpujqfiQhrk7McMD88XeorEY79dY454fYKgphYmazhZPvCxfYa23xZDjJeTKEAobwh4MfFBEY4mt1yrS
2025-08-15T23:35:25.854Z,NoEncontrado,9.23,0.05417118,0.06500542,3QFnfovVFRtwkAV71ev9QYrmWvAnqGrRDft3w2aL4R1YtfnJ6wkjA4xdVqFMAXNeW9DnpPfteTUxNP2hZ7sggBwN
2025-08-15T23:35:25.856Z,NoEncontrado,4.78,0.10460251,0.12552301,3nSo9Wgit1MahAHWdQ5F9dWFuWmwmTkoPFBZkTMTVMYsUkjMZ6qzdKkKwteH96hkorCkW9mheS6ohxNSgwHgd6Z4
2025-08-15T23:35:25.859Z,NoEncontrado,3.22,0.15527950,0.18633540,5dpNy3M2mxYquoSDZtGKMv9tPuUBBVfUHGEKQ7zbSCuz3eizFEPv4NX8dvvf4pGUxtU291VwMh8NvcdxSvar4qnr
2025-08-15T23:35:25.861Z,NoEncontrado,6.03,0.08291874,0.09950249,46dJhPo24uwSqoBYWwo6iyY9YrTfqR8d8B1BSVbDznk2hYB9fshRQTJuBFqH3KcvkiFS3rFfj8VnMVfoTya3x6P8
2025-08-15T23:35:25.863Z,NoEncontrado,2.48,0.20161290,0.24193548,2ytpXeH61ZUELqebbKKNM8LgFEAKekTVJ3AWMt2qyXiZ8bJQF7QeYeMy9nQFaastXywMEHsZukUeHXyZ51VDTRLB
2025-08-15T23:35:25.866Z,NoEncontrado,2.03,0.24630542,0.29556650,4X9vdh6YkXcv4zKpwMv6g4mDGaBtHeCocrRTJ5pqCsVbRw8WaXiUvoFs8eKZ64XxYAmY3hhkYh4pryfmzDHKq1yq
2025-08-15T23:35:25.868Z,NoEncontrado,6.22,0.08038585,0.09646302,Rg4z7Zsi7LgExnz78nExdeeZxsBE4r986FDkw9MPEYG1QNDnDKyj9CXWyPWj1LNHxquo1pkWq1NZJhDXwwqbLX6
2025-08-15T23:35:25.870Z,NoEncontrado,5.42,0.09225092,0.11070110,2DhNpbG2566HgvYRWsruhZf6NNMVEyZ6mRej8ALFg6JoGRJJqFJRCj9YJdGTWwb5R8C1Ucardxz782ob626fEUXe
2025-08-15T23:35:25.872Z,NoEncontrado,3.08,0.16233766,0.19480519,yvkxscWQ3iPHkL13EjDPx7kQXJekLGKCcmkH1oNGTeZDh2psCRPriuSYFnrsTTvEddoAXtSEYg157TxY1V6CuHG
2025-08-15T23:35:25.873Z,NoEncontrado,4.84,0.10330579,0.12396695,59UC4RMFWSYQhQqmieWv5TBhBWZvcjVFtaqYHQDQM2yeYYfcoDUQQ4Pyi1uYtobF46LbyncqmTEoogUAR3EDvoJ8
2025-08-15T23:35:25.875Z,NoEncontrado,9.28,0.05387931,0.06465517,3mWJnfQ5AHEXwgYTheZzwZU14QvXWZBmLGsrZFxQLZ9b4MJNhszujMWTBe4Vwosx522cUJJfvGDgjE5rd7AriiCv
2025-08-15T23:35:25.877Z,NoEncontrado,6.53,0.07656968,0.09188362,3P3N15mv2ZbUZDekSuS288E7DXBs19H3X8NM86V2DcAoa4pY8SYQUtLNujQzzjHDj7b2kQCPPN85HT38Be2joRTG
2025-08-15T23:35:25.879Z,NoEncontrado,7.2,0.06944444,0.08333333,38jpqXzpFcEVGuwTcGQrEMv6CnKsUFsX1s1819kxWs3BmcfQyZ68sBTDTpeYfewQEQ9Ro1os4qUt4R7bqfnvNhYf
2025-08-15T23:35:25.880Z,NoEncontrado,4.19,0.11933174,0.14319809,4c3LiydFv7kHC7GE3SvoMuKPeEYoK5HCxfkhjuUPzMYgaWdZ5kvgMiJSiSKY2xtvwFWNZpHakmJiKhcbApHVQAUN
2025-08-15T23:35:25.882Z,NoEncontrado,6.29,0.07949126,0.09538951,2VMRgdbAaghgVdnWPhvrFSN7kwYGoyB7uFZ8QB57ZJTkSsXB8wif3UAE3LmUzUxz3sFQzJrPcb1mFZpfgj2pzWeP
